Tractor Name,Year,Hours,Company,Company URL,URL
Case IH Puma 240 CVX,2018,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/landbouwhuis-timmerman-bv/ca30de5a,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-240-cvx/0lmcsg0c.html
Case IH Puma 165,2019,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/evax-bv/2302ef15,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-165/ubxfnjrd.html
Case IH Puma 220 4X4 New Holland T7 - STEYR,2020,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/bas-world/114c8467,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-220-4x4-new-holland-t7-steyr/qeqdphyg.html
Case IH Puma 185 MC 4X4 FH + PTO - NEW HOLLAND T7 - STEYR,2019,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/bas-world/114c8467,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-185-mc-4x4-fh-pto-new-holland-t7-steyr/mkyjykmh.html
Case IH Puma 230 CVX,2014,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/evax-bv/2302ef15,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-230-cvx/zfsjojvi.html
Case IH Puma 145,2014,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/stm-trading/0b1d960a,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-145/sishyhuo.html
Case IH PUMA 240 CVX (DEMO),"Duizel, Noord-Brabant, NL",N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/evax-bv/2302ef15,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-240-cvx-demo/nirglmuc.html
Case IH PUMA 185 AFS CONNECT,2023,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/p-van-eijzeren-mechanisatie-b-v/d66dd72d,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-185-afs-connect/sbqinkqg.html
Case IH PUMA 240 CVX,"Grashoek, Limburg, NL",N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/evax-bv/2302ef15,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-240-cvx/zemiulsc.html
Case IH Puma 165 CVX (DEMO),2023,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/evax-bv/2302ef15,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-165-cvx-demo/0nrpzloq.html
Case IH Puma 185,2021,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/dll/794bec45,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-185/phmjnpmi.html
Case IH Puma 185,2021,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/dll/794bec45,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-185/rbmjsmuf.html
Case IH Puma 240 CVX,2017,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/koop-van-der-wal-b-v/461f8ee6,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-240-cvx/sosp0mvd.html
Case IH PUMA 175 CVX,2017,N/A,,"https://www.mascus.co.ukhttps://www.mascus.co.uk/felleskjopet-agri-steinkjer/5e2d95ff,1,relevance,searchdealer.html",https://www.mascus.co.uk/agriculture/tractors/case-ih-puma-175-cvx/okvlvguc.html
