Title,Year,Hours,Horsepower,Location,Price,URL
John Deere 6155R,2021,"1,080
                                                                                                    h","155
                                                                                                    hp","United Kingdom,            , South East England","129,115 €",https://www.agriaffaires.co.uk/used/farm-tractor/44873124/john-deere-6155r.html
John Deere 8RX370,2022,"1,841
                                                                                                    h","370
                                                                                                    hp","United Kingdom,            , East Midlands",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44865304/john-deere-8rx370.html
John Deere 6195R,2018,"5,045
                                                                                                    h","195
                                                                                                    hp","United Kingdom,            , South East England","85,677 €",https://www.agriaffaires.co.uk/used/farm-tractor/44622657/john-deere-6195r.html
John Deere 6R155,2023,"1,365
                                                                                                    h","155
                                                                                                    hp","United Kingdom,            , East Midlands","129,172 €",https://www.agriaffaires.co.uk/used/farm-tractor/44911360/john-deere-6r155.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Leyland 272,16614,For sale / Offers,272,"United Kingdom,            , South West England","4,001 €",https://www.agriaffaires.co.uk/used/farm-tractor/44906948/leyland-272.html
Caterpillar MT865B,2006,"9,783
                                                                                                    h",N/A,"United Kingdom,            , East Midlands              (Lincolnshire)","71,445 €",https://www.agriaffaires.co.uk/used/farm-tractor/45057463/caterpillar-mt865b.html
New Holland TS 100,2011,"100
                                                                                                    hp",N/A,"United Kingdom,            , Northern Ireland              (Tyrone)","14,575 €",https://www.agriaffaires.co.uk/used/farm-tractor/45087393/new-holland-ts-100.html
Massey Ferguson 35,20018,For sale / Offers,35,"United Kingdom,            , South West England","3,715 €",https://www.agriaffaires.co.uk/used/farm-tractor/45082530/massey-ferguson-35.html
John Deere 7R 290,2021,"587
                                                                                                    h","290
                                                                                                    hp","United Kingdom,            , South East England","220,336 €",https://www.agriaffaires.co.uk/used/farm-tractor/44577737/john-deere-7r-290.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fendt 724 Profi+,2021,"4,620
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber","158,893 €",https://www.agriaffaires.co.uk/used/farm-tractor/45000418/fendt-724-profi.html
Ford 7910,"6,215
                                                                                                    h",N/A,N/A,"United Kingdom,            , South West England","10,288 €",https://www.agriaffaires.co.uk/used/farm-tractor/44372858/ford-7910.html
Fendt 210V Profi Plus,2023,N/A,N/A,"United Kingdom,            , South East England","119,456 €",https://www.agriaffaires.co.uk/used/farm-tractor/44512314/fendt-210v-profi-plus.html
Massey Ferguson 8732 Dyna-VT,2018,"2,500
                                                                                                    h","320
                                                                                                    hp","United Kingdom,            , North East England","144,604 €",https://www.agriaffaires.co.uk/used/farm-tractor/44747461/massey-ferguson-8732-dyna-vt.html
John Deere 6R120,2023,"192
                                                                                                    h","120
                                                                                                    hp","United Kingdom,            , East Midlands              (Lincolnshire)","89,735 €",https://www.agriaffaires.co.uk/used/farm-tractor/44942089/john-deere-6r120.html
Valtra T152 4wd Tractor c/w Front Linkage,2009,"5,950
                                                                                                    h",N/A,"United Kingdom,            , East Midlands","33,093 €",https://www.agriaffaires.co.uk/used/farm-tractor/44438487/valtra-t152-4wd-tractor-c-w-front-linkage.html
John Deere 8RX 370,2020,"2,245
                                                                                                    h","370
                                                                                                    hp","United Kingdom,            , South East England","281,779 €",https://www.agriaffaires.co.uk/used/farm-tractor/44527081/john-deere-8rx-370.html
John Deere 6195R,2016,"4,925
                                                                                                    h","195
                                                                                                    hp","United Kingdom,            , South East England","91,444 €",https://www.agriaffaires.co.uk/used/farm-tractor/43491297/john-deere-6195r.html
John Deere 6250R,2022,"2,872
                                                                                                    h","250
                                                                                                    hp","United Kingdom,            , East Midlands              (Lincolnshire)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45086235/john-deere-6250r.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Massey Ferguson 7618 DYNA 6,2014,"8,950
                                                                                                    h","180
                                                                                                    hp","United Kingdom,            , East of England","42,867 €",https://www.agriaffaires.co.uk/used/farm-tractor/45111748/massey-ferguson-7618-dyna-6.html
John Deere 6R 130,2022,"505
                                                                                                    h","130
                                                                                                    hp","United Kingdom,            , South East England","125,686 €",https://www.agriaffaires.co.uk/used/farm-tractor/44853006/john-deere-6r-130.html
New Holland T6.180,2017,"2,315
                                                                                                    h",N/A,"United Kingdom,            , South West England","53,155 €",https://www.agriaffaires.co.uk/used/farm-tractor/45020544/new-holland-t6-180.html
