Title,Year,Hours,Horsepower,Location,Price,URL
New Holland T7040 POWER COMMAND,2011,"6,563
                                                                                                    h","186
                                                                                                    hp","United Kingdom,            , East Midlands              (Leicestershire)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44918309/new-holland-t7040-power-command.html
John Deere 6155R,2021,"3,746
                                                                                                    h","155
                                                                                                    hp","United Kingdom,            , East Midlands","85,734 €",https://www.agriaffaires.co.uk/used/farm-tractor/44048327/john-deere-6155r.html
John Deere 6R 250,2023,"675
                                                                                                    h","250
                                                                                                    hp","United Kingdom,            , South East England","188,557 €",https://www.agriaffaires.co.uk/used/farm-tractor/44985431/john-deere-6r-250.html
John Deere 6R 130,2023,"445
                                                                                                    h","130
                                                                                                    hp","United Kingdom,            , South East England","114,255 €",https://www.agriaffaires.co.uk/used/farm-tractor/44342993/john-deere-6r-130.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Deere 6155R,2019,"1,745
                                                                                                    h","155
                                                                                                    hp","United Kingdom,            , South East England","110,597 €",https://www.agriaffaires.co.uk/used/farm-tractor/44715924/john-deere-6155r.html
Fiat F100 DT,"1,473
                                                                                                    h",N/A,N/A,"United Kingdom,            , South West England              (Gloucestershire)","29,721 €",https://www.agriaffaires.co.uk/used/farm-tractor/45099875/fiat-f100-dt.html
John Deere 6215R,2022,"950
                                                                                                    h","215
                                                                                                    hp","United Kingdom,            , South East England","156,550 €",https://www.agriaffaires.co.uk/used/farm-tractor/45002993/john-deere-6215r.html
John Deere 6155R,2021,"4,000
                                                                                                    h","155
                                                                                                    hp","United Kingdom,            , East Midlands","98,308 €",https://www.agriaffaires.co.uk/used/farm-tractor/44680638/john-deere-6155r.html
John Deere 6195R,2017,"7,120
                                                                                                    h","195
                                                                                                    hp","United Kingdom,            , South East England","74,246 €",https://www.agriaffaires.co.uk/used/farm-tractor/44944369/john-deere-6195r.html
John Deere 7R 330,2020,"1,465
                                                                                                    h","330
                                                                                                    hp","United Kingdom,            , South East England","217,135 €",https://www.agriaffaires.co.uk/used/farm-tractor/44240055/john-deere-7r-330.html
John Deere 6195R,2021,"2,450
                                                                                                    h","195
                                                                                                    hp","United Kingdom,            , South East England","114,255 €",https://www.agriaffaires.co.uk/used/farm-tractor/44268832/john-deere-6195r.html
John Deere 6190R,2015,N/A,N/A,"United Kingdom,            , South East England",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45073555/john-deere-6190r.html
Massey Ferguson 7624 DYNA 6,2012,"9,000
                                                                                                    h","240
                                                                                                    hp","United Kingdom,            , Northern Ireland","37,151 €",https://www.agriaffaires.co.uk/used/farm-tractor/44886156/massey-ferguson-7624-dyna-6.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Deere 5100M,2022,"500
                                                                                                    h","100
                                                                                                    hp","United Kingdom,            , East Midlands","66,301 €",https://www.agriaffaires.co.uk/used/farm-tractor/44486148/john-deere-5100m.html
John Deere 6175R,2017,"5,160
                                                                                                    h","175
                                                                                                    hp","United Kingdom,            , South East England","74,246 €",https://www.agriaffaires.co.uk/used/farm-tractor/44240104/john-deere-6175r.html
Massey Ferguson 8S.245,2022,"692
                                                                                                    h","245
                                                                                                    hp","United Kingdom,            , South East England","113,169 €",https://www.agriaffaires.co.uk/used/farm-tractor/44886502/massey-ferguson-8s-245.html
John Deere 6250R *DG08*,2021,"3,365
                                                                                                    h","250
                                                                                                    hp","United Kingdom,            , East Midlands","131,459 €",https://www.agriaffaires.co.uk/used/farm-tractor/44911412/john-deere-6250r-dg08.html
Case 4240,1998,"95
                                                                                                    hp",N/A,"United Kingdom,            , Northern Ireland              (Tyrone)","11,145 €",https://www.agriaffaires.co.uk/used/farm-tractor/45116770/case-4240.html
Kubota M9960,2014,"3,437
                                                                                                    h","106
                                                                                                    hp","United Kingdom,            , North West England              (Cumbria)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45116355/kubota-m9960.html
John Deere 6215R,2021,"3,890
                                                                                                    h","215
                                                                                                    hp","United Kingdom,            , East Midlands","125,171 €",https://www.agriaffaires.co.uk/used/farm-tractor/44542426/john-deere-6215r.html
John Deere 6155R,2020,"2,345
                                                                                                    h","155
                                                                                                    hp","United Kingdom,            , South East England","97,108 €",https://www.agriaffaires.co.uk/used/farm-tractor/44898890/john-deere-6155r.html
Valtra N101,2008,"8,883
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45105770/valtra-n101.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Case IH PUMA 160,2013,"5,198
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber","45,668 €",https://www.agriaffaires.co.uk/used/farm-tractor/45095988/case-ih-puma-160.html
International 956 XL,1982,"1,399
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45091485/international-956-xl.html
Case IH 574,1978,"3,489
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber","8,973 €",https://www.agriaffaires.co.uk/used/farm-tractor/45091442/case-ih-574.html
John Deere 7530 PREMIUM,L07530K625215,semi-powershift,600/65R28,"United Kingdom,            , Yorkshire and the Humber",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45073105/john-deere-7530-premium.html
John Deere 6230,"3,763
                                                                                                    h",N/A,N/A,"United Kingdom,            , Yorkshire and the Humber","32,579 €",https://www.agriaffaires.co.uk/used/farm-tractor/45070194/john-deere-6230.html
John Deere 8530,2008,"9,200
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45064812/john-deere-8530.html
John Deere 6145M,2023,"500
                                                                                                    h","145
                                                                                                    hp","United Kingdom,            , East Midlands","93,736 €",https://www.agriaffaires.co.uk/used/farm-tractor/44938982/john-deere-6145m.html
New Holland T7030,2008,"5,237
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber","47,439 €",https://www.agriaffaires.co.uk/used/farm-tractor/44971196/new-holland-t7030.html
John Deere 6150R AUTOPOWER,2014,"11,621
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber","34,294 €",https://www.agriaffaires.co.uk/used/farm-tractor/44918263/john-deere-6150r-autopower.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Deere 7530 PREMIUM,2011,"9,733
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber","38,809 €",https://www.agriaffaires.co.uk/used/farm-tractor/44918571/john-deere-7530-premium.html
David Brown 1490,1983,"2,665
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber","7,830 €",https://www.agriaffaires.co.uk/used/farm-tractor/44893458/david-brown-1490.html
Massey Ferguson 7620 DYNA 6,2014,"1,371
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber","54,298 €",https://www.agriaffaires.co.uk/used/farm-tractor/44901267/massey-ferguson-7620-dyna-6.html
John Deere 7530 PREMIUM,2008,"4,767
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber","68,016 €",https://www.agriaffaires.co.uk/used/farm-tractor/44892528/john-deere-7530-premium.html
John Deere 6210R,2012,"2,806
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber","72,588 €",https://www.agriaffaires.co.uk/used/farm-tractor/44901118/john-deere-6210r.html
New Holland T7.210,2021,"2,480
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber","73,731 €",https://www.agriaffaires.co.uk/used/farm-tractor/44815006/new-holland-t7-210.html
Mc Cormick MTX 150,2006,"7,456
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber","31,436 €",https://www.agriaffaires.co.uk/used/farm-tractor/44707799/mc-cormick-mtx-150.html
New Holland T6070 PLUS,2011,"7,163
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/43913374/new-holland-t6070-plus.html
Claas ARION 410,2013,"4,592
                                                                                                    h","95
                                                                                                    hp","United Kingdom,            , Wales",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44520627/claas-arion-410.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Case IH LUXXUM 120,2017,"5,082
                                                                                                    h",N/A,"United Kingdom,            , South West England","40,009 €",https://www.agriaffaires.co.uk/used/farm-tractor/43563347/case-ih-luxxum-120.html
John Deere 6250R,2020,"4,320
                                                                                                    h","250
                                                                                                    hp","United Kingdom,            , South East England","128,029 €",https://www.agriaffaires.co.uk/used/farm-tractor/43491365/john-deere-6250r.html
Claas ELIOS 230,2013,"1,701
                                                                                                    h","88
                                                                                                    hp","United Kingdom,            , East Midlands              (Lincolnshire)","25,720 €",https://www.agriaffaires.co.uk/used/farm-tractor/44942053/claas-elios-230.html
Claas ARION 650,2016,"5,593
                                                                                                    h","175
                                                                                                    hp","United Kingdom,            , East Midlands              (Lincolnshire)","52,583 €",https://www.agriaffaires.co.uk/used/farm-tractor/44942075/claas-arion-650.html
Massey Ferguson 5713S,2019,"1,339
                                                                                                    h","130
                                                                                                    hp","United Kingdom,            , North West England","64,015 €",https://www.agriaffaires.co.uk/used/farm-tractor/44858398/massey-ferguson-5713s.html
John Deere 6155M,"6,075
                                                                                                    h",N/A,N/A,"United Kingdom,            , South West England","56,013 €",https://www.agriaffaires.co.uk/used/farm-tractor/45091468/john-deere-6155m.html
John Deere 8345R,2018,"5,367
                                                                                                    h","345
                                                                                                    hp","United Kingdom,            , East of England              (Cambridgeshire)","136,603 €",https://www.agriaffaires.co.uk/used/farm-tractor/44171755/john-deere-8345r.html
John Deere 6R155,2023,"500
                                                                                                    h","155
                                                                                                    hp","United Kingdom,            , East Midlands","138,889 €",https://www.agriaffaires.co.uk/used/farm-tractor/45012615/john-deere-6r155.html
Fordson Major Dexta,20192,For sale / Offers,Dexta,"United Kingdom,            , South West England",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45084838/fordson-major-dexta.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Deere 6120M,2019,"1,267
                                                                                                    h","120
                                                                                                    hp","United Kingdom,            , South East England","68,530 €",https://www.agriaffaires.co.uk/used/farm-tractor/44424482/john-deere-6120m.html
John Deere 6175R,2020,"2,601
                                                                                                    h","175
                                                                                                    hp","United Kingdom,            , East Midlands","108,596 €",https://www.agriaffaires.co.uk/used/farm-tractor/44389777/john-deere-6175r.html
John Deere 6155R,2022,"1,147
                                                                                                    h",N/A,"United Kingdom,            , South East England","130,316 €",https://www.agriaffaires.co.uk/used/farm-tractor/44736807/john-deere-6155r.html
Massey Ferguson 5470 DYNA 4,2003,"5,050
                                                                                                    h","125
                                                                                                    hp","United Kingdom,            , East Midlands","30,293 €",https://www.agriaffaires.co.uk/used/farm-tractor/45018529/massey-ferguson-5470-dyna-4.html
New Holland TD5.105,2013,"4,707
                                                                                                    h",N/A,"United Kingdom,            , South West England",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44746713/new-holland-td5-105.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
MB Trac 1100,1982,N/A,N/A,"United Kingdom,            , East Midlands              (Leicestershire)","14,803 €",https://www.agriaffaires.co.uk/used/farm-tractor/43886402/mb-trac-1100.html
Massey Ferguson 5712S,2020,"5,100
                                                                                                    h","120
                                                                                                    hp","United Kingdom,            , Yorkshire and the Humber","51,440 €",https://www.agriaffaires.co.uk/used/farm-tractor/44625607/massey-ferguson-5712s.html
John Deere 7250R,2019,"2,910
                                                                                                    h","250
                                                                                                    hp","United Kingdom,            , South East England","125,686 €",https://www.agriaffaires.co.uk/used/farm-tractor/44831117/john-deere-7250r.html
Massey Ferguson 6712S,2019,"1,860
                                                                                                    h","115
                                                                                                    hp","United Kingdom,            , South East England","51,383 €",https://www.agriaffaires.co.uk/used/farm-tractor/44677630/massey-ferguson-6712s.html
Massey Ferguson 375 4x4,2002,"75
                                                                                                    hp",N/A,"United Kingdom,            , Northern Ireland              (Tyrone)","12,860 €",https://www.agriaffaires.co.uk/used/farm-tractor/45041056/massey-ferguson-375-4x4.html
John Deere 6145R,2019,"3,163
                                                                                                    h","145
                                                                                                    hp","United Kingdom,            , South East England","77,675 €",https://www.agriaffaires.co.uk/used/farm-tractor/45078245/john-deere-6145r.html
John Deere 6250R,2018,"4,020
                                                                                                    h","250
                                                                                                    hp","United Kingdom,            , South East England","114,255 €",https://www.agriaffaires.co.uk/used/farm-tractor/45045058/john-deere-6250r.html
John Deere 6210R,2013,"8,500
                                                                                                    h","210
                                                                                                    hp","United Kingdom,            , South East England","55,441 €",https://www.agriaffaires.co.uk/used/farm-tractor/45067333/john-deere-6210r.html
Fendt 828 PROFI PLUS,2016,"5,210
                                                                                                    h","280
                                                                                                    hp","United Kingdom,            , South West England","108,596 €",https://www.agriaffaires.co.uk/used/farm-tractor/45114079/fendt-828-profi-plus.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
New Holland TM140,2003,"9,185
                                                                                                    h","140
                                                                                                    hp","United Kingdom,            , East Midlands              (Lincolnshire)","31,436 €",https://www.agriaffaires.co.uk/used/farm-tractor/45057462/new-holland-tm140.html
Fordson Major SUPER MAJOR,15109z,For sale / Offers,SUPER MAJOR,"United Kingdom,            , South West England",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45081447/fordson-major-super-major.html
John Deere 6215R,2021,"3,234
                                                                                                    h",N/A,"United Kingdom,            , South East England","122,885 €",https://www.agriaffaires.co.uk/used/farm-tractor/45102924/john-deere-6215r.html
Case IH PUMA 150,2017,"2,106
                                                                                                    h","150
                                                                                                    hp","United Kingdom,            , East Midlands              (Lincolnshire)","56,870 €",https://www.agriaffaires.co.uk/used/farm-tractor/44942018/case-ih-puma-150.html
John Deere 6130R,2021,"2,005
                                                                                                    h","130
                                                                                                    hp","United Kingdom,            , South East England","100,537 €",https://www.agriaffaires.co.uk/used/farm-tractor/45021744/john-deere-6130r.html
Valtra T254,2019,"3,400
                                                                                                    h","220
                                                                                                    hp","United Kingdom,            , East Midlands              (Lincolnshire)","85,734 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086238/valtra-t254.html
John Deere 6155R,2017,"7,620
                                                                                                    h",N/A,"United Kingdom,            , South East England","63,443 €",https://www.agriaffaires.co.uk/used/farm-tractor/43503928/john-deere-6155r.html
John Deere 6155R,2017,"5,600
                                                                                                    h",N/A,"United Kingdom,            , South East England","67,444 €",https://www.agriaffaires.co.uk/used/farm-tractor/44162191/john-deere-6155r.html
John Deere 6130R,2021,"1,355
                                                                                                    h",N/A,"United Kingdom,            , South East England","100,589 €",https://www.agriaffaires.co.uk/used/farm-tractor/45070544/john-deere-6130r.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Deere 7R350,2022,"500
                                                                                                    h","350
                                                                                                    hp","United Kingdom,            , East Midlands","285,780 €",https://www.agriaffaires.co.uk/used/farm-tractor/44660058/john-deere-7r350.html
John Deere 6R 215,2023,"1,310
                                                                                                    h","215
                                                                                                    hp","United Kingdom,            , South East England","175,754 €",https://www.agriaffaires.co.uk/used/farm-tractor/44786395/john-deere-6r-215.html
Massey Ferguson 8740S Dyna-VT,2021,"1,400
                                                                                                    h","400
                                                                                                    hp","United Kingdom,            , East Midlands","182,327 €",https://www.agriaffaires.co.uk/used/farm-tractor/44554642/massey-ferguson-8740s-dyna-vt.html
John Deere 6175M,2020,"1,980
                                                                                                    h","175
                                                                                                    hp","United Kingdom,            , East Midlands","84,019 €",https://www.agriaffaires.co.uk/used/farm-tractor/44604694/john-deere-6175m.html
John Deere 6215R,2021,"3,800
                                                                                                    h","215
                                                                                                    hp","United Kingdom,            , South East England","102,824 €",https://www.agriaffaires.co.uk/used/farm-tractor/44240166/john-deere-6215r.html
John Deere 6195R,2019,"5,520
                                                                                                    h","195
                                                                                                    hp","United Kingdom,            , South East England","91,392 €",https://www.agriaffaires.co.uk/used/farm-tractor/44269813/john-deere-6195r.html
Valtra T174E V,2018,"2,044
                                                                                                    h","175
                                                                                                    hp","United Kingdom,            , South East England","83,448 €",https://www.agriaffaires.co.uk/used/farm-tractor/45080552/valtra-t174e-v.html
John Deere 6R185,2023,"500
                                                                                                    h","185
                                                                                                    hp","United Kingdom,            , East Midlands","169,753 €",https://www.agriaffaires.co.uk/used/farm-tractor/44985597/john-deere-6r185.html
John Deere 8370R,2017,"2,890
                                                                                                    h","370
                                                                                                    hp","United Kingdom,            , South East England","186,043 €",https://www.agriaffaires.co.uk/used/farm-tractor/44557032/john-deere-8370r.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Deere 7R 310,2023,"1,240
                                                                                                    h","310
                                                                                                    hp","United Kingdom,            , South East England","224,909 €",https://www.agriaffaires.co.uk/used/farm-tractor/45017517/john-deere-7r-310.html
New Holland T6.145 DYNAMIC COMMAND,2020,"3,684
                                                                                                    h","145
                                                                                                    hp","United Kingdom,            , Wales",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44505653/new-holland-t6-145-dynamic-command.html
John Deere 6195R,2016,"6,925
                                                                                                    h","195
                                                                                                    hp","United Kingdom,            , South East England","74,246 €",https://www.agriaffaires.co.uk/used/farm-tractor/44501997/john-deere-6195r.html
Fendt MT 943,Fendt MT 943,For sale / Offers,MT 943,"United Kingdom,            , East Midlands","188,615 €",https://www.agriaffaires.co.uk/used/farm-tractor/44668443/fendt-mt-943.html
Case IH Puma 240 CVX,2018,"5,600
                                                                                                    h","240
                                                                                                    hp","United Kingdom,            , East of England              (Cambridgeshire)","74,874 €",https://www.agriaffaires.co.uk/used/farm-tractor/44255021/case-ih-puma-240-cvx.html
Massey Ferguson 8S.205,2022,"900
                                                                                                    h","205
                                                                                                    hp","United Kingdom,            , North East England","125,743 €",https://www.agriaffaires.co.uk/used/farm-tractor/44977033/massey-ferguson-8s-205.html
John Deere 2040S,19760,For sale / Offers,2040S,"United Kingdom,            , South West England",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44906855/john-deere-2040s.html
John Deere 6175R,2019,"4,858
                                                                                                    h","175
                                                                                                    hp","United Kingdom,            , South East England","85,677 €",https://www.agriaffaires.co.uk/used/farm-tractor/45078243/john-deere-6175r.html
John Deere 6195R,2019,"4,300
                                                                                                    h","195
                                                                                                    hp","United Kingdom,            , South East England","96,879 €",https://www.agriaffaires.co.uk/used/farm-tractor/44240126/john-deere-6195r.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Massey Ferguson 1740,For sale / Offers,1740,65%,"United Kingdom,            , East Midlands","28,006 €",https://www.agriaffaires.co.uk/used/farm-tractor/44887264/massey-ferguson-1740.html
John Deere 4049M,2017,"2,772
                                                                                                    h",N/A,"United Kingdom,            , South East England","15,947 €",https://www.agriaffaires.co.uk/used/farm-tractor/45070545/john-deere-4049m.html
Massey Ferguson 6s145,For sale / Offers,6s145,80%,"United Kingdom,            , East Midlands","98,308 €",https://www.agriaffaires.co.uk/used/farm-tractor/44904721/massey-ferguson-6s145.html
John Deere 6250R,2021,"4,290
                                                                                                    h","250
                                                                                                    hp","United Kingdom,            , South East England","125,686 €",https://www.agriaffaires.co.uk/used/farm-tractor/44421069/john-deere-6250r.html
Massey Ferguson 7720,2020,"2,670
                                                                                                    h","200
                                                                                                    hp","United Kingdom,            , South East England","85,677 €",https://www.agriaffaires.co.uk/used/farm-tractor/44996234/massey-ferguson-7720.html
John Deere 6145R,2022,"834
                                                                                                    h","145
                                                                                                    hp","United Kingdom,            , East Midlands              (Lincolnshire)","94,307 €",https://www.agriaffaires.co.uk/used/farm-tractor/45057464/john-deere-6145r.html
Massey Ferguson 6616 D6,2016,"4,135
                                                                                                    h","160
                                                                                                    hp","United Kingdom,            , Scotland","56,584 €",https://www.agriaffaires.co.uk/used/farm-tractor/45013262/massey-ferguson-6616-d6.html
John Deere 7310R,2018,"3,255
                                                                                                    h","310
                                                                                                    hp","United Kingdom,            , South East England","145,748 €",https://www.agriaffaires.co.uk/used/farm-tractor/44736371/john-deere-7310r.html
John Deere 8RX410,2023,"500
                                                                                                    h","410
                                                                                                    hp","United Kingdom,            , East Midlands","436,671 €",https://www.agriaffaires.co.uk/used/farm-tractor/44786387/john-deere-8rx410.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Massey Ferguson 168,1986,"68
                                                                                                    hp",N/A,"United Kingdom,            , Northern Ireland              (Tyrone)","7,144 €",https://www.agriaffaires.co.uk/used/farm-tractor/44930319/massey-ferguson-168.html
John Deere 6140M,2023,"1,100
                                                                                                    h","140
                                                                                                    hp","United Kingdom,            , South East England","97,108 €",https://www.agriaffaires.co.uk/used/farm-tractor/44240028/john-deere-6140m.html
John Deere 7R 350,2021,"1,305
                                                                                                    h","350
                                                                                                    hp","United Kingdom,            , South East England","222,851 €",https://www.agriaffaires.co.uk/used/farm-tractor/44739095/john-deere-7r-350.html
Massey Ferguson 275,1993,"75
                                                                                                    hp",N/A,"United Kingdom,            , Northern Ireland              (Tyrone)","8,573 €",https://www.agriaffaires.co.uk/used/farm-tractor/44830679/massey-ferguson-275.html
John Deere 6R185,2023,"1,082
                                                                                                    h","185
                                                                                                    hp","United Kingdom,            , East Midlands",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44911365/john-deere-6r185.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Deere 6R 215,2022,"1,895
                                                                                                    h","215
                                                                                                    hp","United Kingdom,            , South East England","154,035 €",https://www.agriaffaires.co.uk/used/farm-tractor/44758373/john-deere-6r-215.html
John Deere 6155R Premium Edition,2021,"6,095
                                                                                                    h",N/A,"United Kingdom,            , East Midlands","74,297 €",https://www.agriaffaires.co.uk/used/farm-tractor/45011170/john-deere-6155r-premium-edition.html
Case IH LUXXUM 120,2021,"547
                                                                                                    h",N/A,"United Kingdom,            , East Midlands              (Lincolnshire)","77,160 €",https://www.agriaffaires.co.uk/used/farm-tractor/44942014/case-ih-luxxum-120.html
Case IH PUMA CVX 240,2019,"3,820
                                                                                                    h",N/A,"United Kingdom,            , Scotland","78,875 €",https://www.agriaffaires.co.uk/used/farm-tractor/45051469/case-ih-puma-cvx-240.html
Case IH Puma 185 CVX,2017,"7,792
                                                                                                    h",N/A,"United Kingdom,            , East Midlands","53,721 €",https://www.agriaffaires.co.uk/used/farm-tractor/45027963/case-ih-puma-185-cvx.html
Fiat 780,1990,"78
                                                                                                    hp",N/A,"United Kingdom,            , Northern Ireland              (Tyrone)","3,144 €",https://www.agriaffaires.co.uk/used/farm-tractor/45056134/fiat-780.html
John Deere 6155M,2021,"2,559
                                                                                                    h",N/A,"United Kingdom,            , South East England","94,307 €",https://www.agriaffaires.co.uk/used/farm-tractor/44527043/john-deere-6155m.html
International 784,18248Z,For sale / Offers,784,"United Kingdom,            , South West England","3,715 €",https://www.agriaffaires.co.uk/used/farm-tractor/44906939/international-784.html
Massey Ferguson 7722 DYNA VT,2017,"3,500
                                                                                                    h","220
                                                                                                    hp","United Kingdom,            , Scotland","88,020 €",https://www.agriaffaires.co.uk/used/farm-tractor/44854415/massey-ferguson-7722-dyna-vt.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fendt 714 VARIO,"11,997
                                                                                                    h",N/A,N/A,"United Kingdom,            , South West England","33,722 €",https://www.agriaffaires.co.uk/used/farm-tractor/44906953/fendt-714-vario.html
John Deere 6250R,2020,"4,435
                                                                                                    h","250
                                                                                                    hp","United Kingdom,            , South East England","130,316 €",https://www.agriaffaires.co.uk/used/farm-tractor/43676506/john-deere-6250r.html
John Deere 6115R,2012,N/A,N/A,"United Kingdom,            , South East England",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45073423/john-deere-6115r.html
John Deere 8RX 410,2021,"2,415
                                                                                                    h","410
                                                                                                    hp","United Kingdom,            , South East England","320,016 €",https://www.agriaffaires.co.uk/used/farm-tractor/44252571/john-deere-8rx-410.html
Massey Ferguson 7626,2013,N/A,N/A,"United Kingdom,            , East Midlands",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44784719/massey-ferguson-7626.html
Fendt 942 Profi-Plus,2023,"292
                                                                                                    h",N/A,"United Kingdom,            , South West England              (Somerset)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45113780/fendt-942-profi-plus.html
John Deere 6420S,2004,"125
                                                                                                    hp",N/A,"United Kingdom,            , Northern Ireland              (Tyrone)","21,148 €",https://www.agriaffaires.co.uk/used/farm-tractor/44603296/john-deere-6420s.html
Massey Ferguson x4 699,1991,"100
                                                                                                    hp",N/A,"United Kingdom,            , Northern Ireland              (Tyrone)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/43681476/massey-ferguson-x4-699.html
John Deere 6155R,2021,"1,870
                                                                                                    h","155
                                                                                                    hp","United Kingdom,            , South East England","97,108 €",https://www.agriaffaires.co.uk/used/farm-tractor/44269812/john-deere-6155r.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Deere 6250R,2019,"3,607
                                                                                                    h","250
                                                                                                    hp","United Kingdom,            , South East England","120,027 €",https://www.agriaffaires.co.uk/used/farm-tractor/44527097/john-deere-6250r.html
Massey Ferguson 7720,2016,"6,440
                                                                                                    h","185
                                                                                                    hp","United Kingdom,            , South East England","53,441 €",https://www.agriaffaires.co.uk/used/farm-tractor/45057618/massey-ferguson-7720.html
John Deere 6250R,2020,"5,240
                                                                                                    h","250
                                                                                                    hp","United Kingdom,            , South East England","116,598 €",https://www.agriaffaires.co.uk/used/farm-tractor/44527100/john-deere-6250r.html
John Deere 7270R,2017,"6,900
                                                                                                    h","270
                                                                                                    hp","United Kingdom,            , East Midlands              (Lincolnshire)","82,876 €",https://www.agriaffaires.co.uk/used/farm-tractor/44941969/john-deere-7270r.html
John Deere 8370R,2020,"1,600
                                                                                                    h","370
                                                                                                    hp","United Kingdom,            , South East England","239,998 €",https://www.agriaffaires.co.uk/used/farm-tractor/44240069/john-deere-8370r.html
John Deere 6145R,2020,"4,125
                                                                                                    h","145
                                                                                                    hp","United Kingdom,            , South East England","77,446 €",https://www.agriaffaires.co.uk/used/farm-tractor/45100221/john-deere-6145r.html
Case IH MAXXUM 145,"175
                                                                                                    hp",N/A,N/A,"United Kingdom,            , North East England","76,589 €",https://www.agriaffaires.co.uk/new/farm-tractor/42720969/case-ih-maxxum-145.html
John Deere 6130M,2018,"2,961
                                                                                                    h","130
                                                                                                    hp","United Kingdom,            , South West England              (Devon)","60,528 €",https://www.agriaffaires.co.uk/used/farm-tractor/45096158/john-deere-6130m.html
John Deere 7R 270,2022,"1,158
                                                                                                    h","270
                                                                                                    hp","United Kingdom,            , South East England","203,989 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086292/john-deere-7r-270.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Massey Ferguson 5613 DYNA 4,2016,"5,750
                                                                                                    h","130
                                                                                                    hp","United Kingdom,            , North East England","45,668 €",https://www.agriaffaires.co.uk/used/farm-tractor/44091532/massey-ferguson-5613-dyna-4.html
