Name,Address,Postal Code,Locality,Brands,Website,URL
,,,,,
Leinweber Landtechnik GmbH & Co. KG,In der Eller 5,36119,Neuhof - Dorfborn - Germany,,www.landtechnikleinweber.de/
LVB Steinbrink GmbH,An der Zuckerfabrik 2,30890,Barsinghausen OT Groß Munzel - Germany,,
ZG Raiffeisen Technik GmbH,Lauterbergstr. 1-5,76137,Karlsruhe - Germany,"Agria, Fendt, Güttler, Honda, Horsch, Irus, Kaweco, Maschio, Stihl, Valtra",
Seiler GmbH & Co.KG,An der Eich 8,91522,Ansbach - Germany,"Alo - Quicke, Amazone, Case IH, Dragone, Evers, Fliegl, Hydrac, JCB, Keenan, Krone, Kuhn, Sampo, Steyr, Weidemann",www.seiler-landtechnik.de
Mecklenburger Landtechnik GmbH,Tarnower Landweg 8,18276,Mühlengeez - Germany,CLAAS,www.mecklenburger-lt.de
Lankhorst Nord GmbH,Zu den Norderstücken 1,26607,Niedersachsen - Aurich - Germany,,
Hermann Wagener,Ederstrasse 34,34537,Bad Wildungen - Germany,John Deere,
MAGER & WEDEMEYER,"Gebrauchtmaschinenzentrum
                                                                    Margarete-Steiff-Str. 11",28876,Oyten - Germany,"Case IH, Steyr",gebrauchte.muw.de
CLAAS Südostbayern GmbH - Töging,Franz-Marc-Str. 12,84513,Töging am Inn - Germany,CLAAS,www.claas-suedostbayern.de
BayWa AG GMZ Straubing,Sensfelder Straße 34,94315,Straubing - Germany,"Fendt, Horsch, Maschio, Massey Ferguson, Pöttinger, Valtra, CLAAS",www.baywa.de
AGROM Agrartechnik GmbH,Auf dem Pfahl 4,77974,Meißenheim-Kürzell - Germany,,
Raiffeisen Technik Ostküste GmbH,Rosseer Weg 19-21,24340,Eckernförde - Germany,"Case, Deutz, Fendt, John Deere, Köckerling, Krampe, Lemken, New Holland, Valtra, CLAAS",www.rt-ostkueste.de
LVD Bernard Krone GmbH,Hallesche Str. 15,06679,Zorbau - Germany,"Case, Fendt, Horsch, John Deere, Kramer, Krone, Lemken, New Holland, Weidemann, CLAAS",www.krone-agropark.com
LVA Landtechnik GmbH,Buttenkrug 1,39171,Sülzetal OT Altenweddingen - Germany,,www.lvaltenweddingen.de
Schlichting Landmaschinen,Hauptstraße 10,21439,Marxen - Germany,John Deere,
Gruma Fördertechnik GmbH,Daimlerstraße 4,85748,Garching bei München - Germany,Mercedes-Benz,
Grimme Landmaschinenfabrik GmbH & Co. KG,Hunteburger Str. 32,49401,Damme - Germany,"Asa-Lift, Grimme, Kleine",www.grimme.de
Schütz Landmaschinen OHG,Oberdeggenbach 81,84069,Schierling - Germany,CLAAS,
BayWa AG GMZ Erbach,Riedmühle 1,89155,Erbach - Germany,"Fendt, Horsch, Maschio, Massey Ferguson, Pöttinger, Valtra, CLAAS",www.baywa.de
Robert Aebi Landtechnik GmbH,Dr.-Oetker-Str. 20,54516,Wittlich - Germany,"Case, Caterpillar, Deutz-Fahr, John Deere, Komatsu, Kuhn, Massey Ferguson, Reisch, Saphir, Steyr, Volvo, CLAAS",www.robert-aebi-landtechnik.de
CLAAS VERTRIEBSGES. MBH GMZ HOCKENHEIM,"FIRST CLAAS USED Center
                                                                    Talhausstrasse 8",68766,Hockenheim - Germany,CLAAS,www.claas-hockenheim.de
BayWa AG GMZ Schönau,Hohenthanner Str. 4,83104,Tuntenhausen - Germany,"Fendt, Horsch, Maschio, Massey Ferguson, Pöttinger, Valtra, CLAAS",www.baywa.de
E. Engbers Söhne GmbH,Itterbecker Strasse 39,49843,Uelsen - Germany,"Case IH, JCB, Ploeger, Pöttinger, Schuitemaker, Siloking, Steyr, Veenhuis",www.engberssoehne.de
Titan Machinery Germany,"Säuritzer Straße 1-2
                                                                    Gewerbegebiet West",01906,Burkau - Germany,,
Steinhage Landtechnik Prenzlau GmbH,"Am Damm 1
                                                                    OT Schmarsow",17309,Rollwitz - Germany,"Amazone, Bednar, DeLaval, Köckerling, Kverneland, Lemken, Stiga, Stihl, Strautmann, Weidemann, CLAAS",www.steinhage-prenzlau.de
BayWa AG Jengen,Gewerbestrasse,86860,Jengen - Germany,"Fendt, Horsch, Maschio, Massey Ferguson, Pöttinger, Valtra, CLAAS",www.baywa.de
BayWa AG GMZ Manching,Weberstr. 9,85077,Manching - Germany,"Fendt, Horsch, Maschio, Massey Ferguson, Pöttinger, Valtra, CLAAS",www.baywa.de
tec-finder GmbH,Köthener Strasse 10,06420,Könnern - Germany,,
CLAAS Vertriebsgesellschaft mbH -  Traktoren Centrum Molbergen,"FIRST CLAAS USED Center
                                                                    Ermker Weg 15 b",49696,Molbergen - Germany,CLAAS,
Buchheister Technik GmbH,Herkenser Str. 45,31863,Coppenbrügge - Germany,Massey Ferguson,
Gruber Agrartechnik GmbH,Arnoldplatz 55,04319,Leipzig OT Engelsdorf - Germany,"Amazone, Case IH, Farmet, Krone, Krpan, Kverneland, Schäffer, Steyr, Strautmann, ZDT",www.gruber-agrartechnik.de
