Name,Address,Postal Code,Locality,Brands,Website
COLLET LOUIS DAVIGNON,Rue du Bataillon XII 20,55430,BELLEVILLE SUR MEUSE - France,"Bogballe, Grégoire Besson, Horsch, JCB, Lemken, Lucas, Maschio Gaspardo, Mauguin, Rolland, CLAAS",
CHAPUIS SAS,ZA de Couteuges,43230,PAULHAGUET - France,"JCB, John Deere, Krpan, Westfalia",www.agriaffaires.biz/charleschapuis
MARVALIN SAS,19 Impasse des Fours à Chaux,63350,JOZE - France,"Landini, Zetor, Valtra",
ETS SOETAERT,"Z.A Campauge
                                                                    513 Route de Bernay",14290,La Vespière - France,Valtra,
EMPIAN EURL,En Barbut,32130,SEYSSES SAVES - France,,
MARCHADIER SAS,Avenue Etienne Clémentel,63720,SURAT - France,New Holland Agriculture,
AVEO,Champoyet,1400,Neuville-les-Dames - France,Valtra,www.aveo-occasion.fr
FORAGRI SERVICES,Parc d’Activité des Nations - rue de Suède,67230,BENFELD - France,"Fliegl, Lemken, CLAAS",
COLINET AGRI MONTS DU LYONNAIS,5 place de la liberté,69850,SAINT MARTIN EN HAUT - France,"Deutz-Fahr, Khun, Lamborghini",
LACAN REQUISTA SAS,Place du Marché Couvert,12170,REQUISTA - France,"Case IH, JCB",www.lacan.fr
GROUPE TRANCHARD - AGRISUD,"ZA les Plaines
                                                                    2 Allée des Artisans",48230,CHANAC - France,John Deere,
RAULT LOUIS SARL,2 Allée du Héron,50220,POILLEY - France,Fendt,
LOIRE EQUIPEMENT,"RN 82
                                                                    1535, rue Charles de Gaulle",42210,MARCLOPT - France,"Kuhn, New Holland Agriculture",
ARMORICAINE -SERA 3000,ZI de Lumunoc'h,29510,BRIEC DE L'ODET - France,Massey Ferguson,www.groupelenormand.fr/
DFAE,1290 chemin du contour,38260,LE MOTTIER - France,,
CIAM,3280 Route de Prades,66000,Perpignan - France,"Deutz-Fahr, Kubota, Same",
BERNARD SAS,Impasse Monge - ZI Très le Bois,22600,LOUDEAC - France,Case IH,www.groupe-bernard.com
Ets Hervé,Zone Artisanale Le Dily,22350,PLUMAUDAN - France,"Agrisem, Massey Ferguson",www.etsherve.com
T3M BLANC ROCHEBOIS,"855 RD N7
                                                                    Route d'Aix",83170,Brignoles - France,,
SERVIPRO,Z.A de Pen Prat,29600,Sainte Sève - France,,
JAMS SARL,"281 rue des Graissières
                                                                    ZA Les Graissières",62136,LESTREM - France,,
ALBI MOTOCULTURE,"10 Rue Pasteur
                                                                    ZA de Garban",81990,PUYGOUZON - France,New Holland Agriculture,
AGRO DYNAMIC,12 route de Montmarault,3210,SOUVIGNY - France,,
DIMOND SAS,Route de Damville - BP 42,27190,CONCHES - France,Case IH,www.ets-dimond.fr
GARAGE DE CROTZ,Route d'Ecueillé,36240,GEHEE - France,"Horsch, Iseki, John Deere, Kuhn, Lemken, Polaris",
Lebrun Tracteurs et pièces occasions,28 Route de Mézidon,14370,AIRAN - France,,
SUREAU AGRICULTURE SAS,ZI Sud La Croix Verte - Route de Sauvigny Le Bois,89200,AVALLON - France,"Agrisem, Kuhn, New Holland Agriculture, Vaderstad",
MAISA,274 AV DES FUSILLES,49400,Saumur - France,,
VMA 15 SAS,ZAC du Crozatier,15100,SAINT GEORGES - France,"JCB, CLAAS",
L'ARTESIENNE,2 Route Nationale,62127,TINCQUES - France,,www.bennes-artesienne.com
MONTAUT SARL,ZA La pouche,32220,LOMBEZ - France,Terex,
MCC SARL,Parc d'occasions MCCGrande rue,51800,DOMMARTIN DAMPIERRE - France,,
MADE AGRI,"13, rue de l'industrie",89100,MALAY LE GRAND - France,"John Deere, Koeckerling",
LOXAGRI Machinisme,ZA du haut mont,62650,Maninghem - France,,
SAS MJE agri,4 rue du moulin à vent,2250,La Neuville bosmont - France,,
GASNIER AGRI,88 rue St Hélier,35000,RENNES - France,,
DI CRISTIANU,9 rue des tilleuls,51260,Granges sur aube - France,,
DUBOURG AGRI SERVICE,ZI La Seiglerie - Rue Antoine Lavoisier,44270,MACHECOUL - France,"Agrisem, JCB, CLAAS",
PORCHER SAS,ZA Bourdelas - Route de Limoges,87500,ST YRIEIX LA PERCHE - France,"Case IH, New Holland Agriculture",
DUVIGNAU AIRE,3462 Route de Bordeaux,40800,AIRE SUR L'ADOUR - France,Massey Ferguson,
EUROMAGRI,402 Chemin des Mousquetaires,40990,Saint-Paul-lès-Dax - France,"Caterpillar, Fendt, Valtra",www.euromagri.fr
AGRITYRE FRANCE,20 avenue de laon,2200,SOISSONS - France,,
PEILLET SAS,ZA Les Chasses,26100,ROMANS SUR ISERE - France,"Fendt, John Deere, Merlo, Valtra",
ROCHA SA,107 RUE BOURNIZET,8400,VOUZIERS - France,"Evrard, Hytrack, Kawasaki, Kubota, Kuhn, Massey Ferguson, Welger",
MOTOCULTURE BASCO BEARNAISE,1354 RD 933 - Route de Sauveterre,64120,AÏCIRITS CAMOU SUHAST - France,CLAAS,www.mbb-adour.com
LIMAGRI MOREAU,ZA Les Petites GrangesAncienne RN 141,87420,SAINT VICTURNIEN - France,,
TMC BEJENNE,951 rue de la Glandée,86530,Naintré - France,,
SCOP ARL BOUSQUIE,Le Poustel,12450,Luc-la-Primaube - France,,www.ets-bousquie.com
SAS SICOIT,Le Village,26450,ROYNAC - France,New Holland Agriculture,www.sicoit.fr
AGRI 51,RN 44,51360,VAL DE VESLE - France,,
SEBY JEAN & FILS SA,145 Avenue Philippon,64000,PAU - France,Case IH,
DUCHARNE AGRIDIFFUSION,Z.I. - 60 Route de Mâcon - CS 50066,71120,CHAROLLES - France,"JCB, John Deere, Kuhn, Promodis",www.ducharne.fr
GEORGES EQUIPEMENTS,438 Route de Xertigny,88370,BELLEFONTAINE - France,Case IH,
GILIBERT & FILS,Route Départementale 3,31230,RIOLAS - France,Case IH,
VITAGRI,La Pièce Barade,24150,ST CAPRAISE DE LALINDE - France,"JCB, Landini, Massey Ferguson",
OUEST MOTOCULTURE,ZA Zoopole,22440,PLOUFRAGAN - France,"Actisol, Cargo, Einböck, Fendt, Horsch, Kuhn, McHale, Monosem, MX, Schäffer, Sodimac",
EUROPAGRI,3 ter Rue de la République,89100,SAINT CLEMENT - France,New Holland Agriculture,
RUDOLPH SARL,Zone Artisanale,67430,DIEMERINGEN - France,"Deutz-Fahr, Kubota",
AGROTECH (LESUEUR ETS),Rue Joseph Gaulle,76850,BOSC LE HARD - France,John Deere,www.agro-tech.fr/
MARECHAL ETS,Rue de la Belle Etoile,58220,DONZY - France,Agrisem,
FONTVIELLE SAS,Route de Chambon,23110,EVAUX LES BAINS - France,"Agrisem, New Holland Agriculture",
ETS PEAN,Cormenon,41170,MONDOUBLEAU - France,"Kuhn, New Holland Agriculture",
PAGES MA SAS,Avenue Georges Pompidou,15000,AURILLAC - France,Massey Ferguson,
JF-AGRI MACHINES AGRICOLES & E.VERTS,2 Allée de la Hardt - ZA Technoparc,68440,SCHLIERBACH - France,CLAAS,
POCE MECANIQUE AGRICOLE,"La massonais, route de châteaubourg",35500,Vitré - France,Valtra,
ACS ANDELFINGER SA,8 Rue de la Gare,68640,WALDIGHOFFEN - France,"JCB, New Holland Agriculture",
GROUPE LAVAIL - TRACTO MARCHE DU MIDI,Rue Denis Papin - ZI la Bouriette,11000,CARCASSONNE - France,"Agrisem, Laverda, New Holland Agriculture",
A&MS AGRI MOTOCULTURE SERVICES,25 Avenue de la Libération,79320,CHANTELOUP - France,Kubota,
GLAIRON MONDET SAS,1025 RUE DU BOIS DE L'ILE,73460,Tournon - France,,
EQUIP JARDIN REGION 2,"25 Rue Thomas Edison
                                                                    equip jardin",72000,Le Mans - France,,
JAN-ROL,ul. Pałucka 6,88-170,Pakość - Poland,,
SERMA SAS,"Rue de Bel Air
                                                                    ZAC du Londeau",61000,Cerisé - France,"Fendt, Kuhn, McCormick, Merlo",
GROUPE FUTUR AGRI SAS,ZI Jean Malèze,47240,CASTELCULIER - France,"Case IH, Laverda, New Holland Agriculture",
FAUPIN SAS,150 Route de Dijon,21200,BEAUNE - France,,
SOCOTAM AGRICORAMA,RN20 - Fonneuve - BP 402,82000,MONTAUBAN - France,"Agrisem, Amazone, Case IH, Krone",www.socotam.com
LOCAMOISSON,Berdoues,32300,BERDOUES - France,"Capello, Case IH, John Deere, New Holland, CLAAS",
BAS RHIN MOTOCULTURE,29A - Route de Haguenau,67670,MOMMENHEIM - France,"Agrisem, Laverda, Valtra",
LOUIS GAY SAS,Route de Foix  (Par la Vallée de la Lèze),31310,MASSABRAC - France,"Carre, Desvoys, JCB, Kioti, Kuhn, Kverneland, Lemken, Maschio, Rousseau, CLAAS",
CHOUFFOT SAS,"2, avenue Saint Rémi",91540,FONTENAY LE VICOMTE - France,Massey Ferguson,
CHEVALERIAS SARL,Route d'Angouleme,16220,MONTBRON - France,"Caterpillar, John Deere",
MANIERE,ROUTE DE CUSSY,21340,VAL-MONT - France,"Agrisem, Deutz-Fahr, Kuhn, Same",
VIAU SA,17 Avenue Fontcouverte - BP 617,84000,AVIGNON - France,"Agrisem, New Holland Agriculture",
AGRO SERVICE 2000 SERVICE MATERIEL,Biopôle 2 rue Emile DUCLAUX 63360 SAINT-BEAUZIRE,63360,Saint-Beauzire - France,,www.agroservice2000.com
EUROMASTER LANDERNEAU VI,"27,  RUE HERVE DE GUEBRIANT",29800,LANDERNEAU - France,,pneu-agricole.euromaster-professionnels.fr/
SAS THOUARD,2 rue du grand chêne,17770,LE SEURE - France,Lamborghini,
EUROMASTER,"rue des charmilles
                                                                    z.i sud est -chantepie",35510,Cesson-Sévigné - France,,
CRAVERO MOTOCULTURE,672 Route de Montauban,31660,BESSIERES - France,Landini,
Grimme France,ZAC Artois - Pole 1 Allee du Danemark,62223,FEUCHY - France,,
BALLAND SAS,65 Avenue Marechal Foch,38260,La Côte-Saint-André - France,"Gilibert, Hardi, Krukowiak, Maschio Gaspardo, Massey Ferguson, Pöttinger",
MGAV,"102 Route de Nueil, Rond-Point de la Girafe",49700,DOUE LA FONTAINE - France,,
AGUILLE SERGE ETS,ZA Les Trotteries,61340,BERD'HUIS - France,Valtra,
Toul pneus,380 Rue Marie Marvingt,54200,TOUL - France,"Alliance, BKT, Bridgestone, Firestone, Kleber, Michelin, Mitas, Nokian, Taurus, Trelleborg, Vredestein",www.toul-pneus.com/
Vantage Atlantique-Méditerranée,Fontenay,36130,Déols - France,,
MARTIN SAS,"Route des Artisans
                                                                    Zone du Claux - 64 Impasse du Claux",12410,CURAN - France,CLAAS,
LEROCH Distribution sas,Zi du bourgeais,56380,Guer - France,,www.leroch-distribution.fr/
AGRi iMMO,19 avenue de la Grande Ourse,44300,Nantes - France,,
FMV-Defrance,37 grande rue,10250,NEUVILLE SUR SEINE - France,,
SODISMAG,3 route de Port Maubert,17520,ST CIERS CHAMPAGNE - France,Landini,
MAILLET SARL,Zone Artisanale,63600,ST FERREOL DES COTES - France,CLAAS,
FLIEGL FRANCE,"ZA de la Fidéle
                                                                    31 rue chotard",44430,Le Loroux-Bottereau - France,,
TAQUIPNEU,chemin cazeaux,47200,Marmande - France,,
PELLEGRIN ADRIEN ETS,Manse,5260,FOREST SAINT JULIEN - France,"Deutz-Fahr, Kuhn, Lamborghini, Same",
CRESSONNIERE SARL,La Cressonnière,53240,ST JEAN SUR MAYENNE - France,,
AGRI MECA EURL,ZI des Plantes - 7 rue de Vaugereux,70150,MARNAY - France,,
BOURDA VERGEZ SARL,6 RD 817,65320,LUQUET - France,,
ETABLISSEMENT BRUNIERE,4 CHEMIN DES VERGERS,26600,Pont-de-l'Isère - France,"Berthoud, Clemens, Landini, McCormick, Pellenc",
MONREYSSE SAS,La Bitarelle - RN 122,15290,OMPS - France,Fendt,
S.A.S. Up'Agri,"La Madeleine
                                                                    Route de Saligny",3290,DOMPIERRE SUR BESBRE - France,"Fendt, Gyrax, Kuhn, Maitre, MX, Ponge",
SOCOMAV,103 Avenue de Barbezieux,16100,CHATEAUBERNARD - France,Grégoire,
MORIN SARL,21 route d'Avallon,21350,VITTEAUX - France,"Agromehanika, Berthoud, Breviglieri, Carre, Grégoire Besson, Jeantil, Kioti, Kongskilde, Mascar, Quivogne, Rabaud, Samasz, Sulky, Tatoma",
BUCHEZ GROUPE,Route de Marcilly,58800,CORBIGNY - France,Valtra,
AVENIR MOTOCULTURE SA,ZA - 7 rue des Pommetets,21560,ARC SUR TILLE - France,Massey Ferguson,
JARDIVAL,20 Place du Maréchal Juin,39000,LONS LE SAUNIER - France,,
GUÉRARD SAS,11 Boulevard Industriel - ZA du Val de Béthune,76270,NEUFCHATEL EN BRAY - France,Valtra,
GAUTIER SARL,10 Rue Eugene Egasse,28410,BROUE - France,"Apc, Cochet, Demblon, Desvoys, FAO, Ferri, Gilibert, Gourdon, Horsch, Jean de Bru, Kongskilde, Kuhn Blanchard, Matrot, Quivogne, Rabaud, Rabe, Suire, Sulky, Tecnoagri, Vigolo, Zetor, Valtra",www.ets-gautier.fr
Ets HENRELLE,44 route de guise,59550,Landrecies - France,CLAAS,
SAVAGRI,La Cosne,41360,SAVIGNY SUR BRAYE - France,"Deutz-Fahr, Same",www.savagri.fr
EUROTRAC,2 rue Achille Berquet,8300,Rethel - France,Eurotrac,
ALSATERR SARL,ZA - 1 rue Gilardoni,68210,RETZWILLER - France,"Kubota, McCormick, Zetor",
SCOP BOUCHARD,"ZA DU CINGAL
                                                                    9 RUE DES PALLIERES",14680,BRETTEVILLE SUR LAIZE - France,Fendt,
RICHY ET FILS - LUGNY,385 route des Eaux Bleues,71260,LUGNY - France,"BCS, Boisselet, Braun, Bugnot, Caeb, CGC-Agri, Dhughes, Dickey-john, Gimbre, Ideal, Infaco, Mori, New Holland Agriculture, Provitis, Rabaud, Tecnoma, Zallys",
Alabeurthe SAS,15 Rue Jacques Germain,21200,BEAUNE - France,,
GUYOT PINAULT SARL,La Ville Collet,35290,ST ONEN LA CHAPELLE - France,Landini,
ALEXIS RAY SAS,Le Bournet,63440,ST HILAIRE LA CROIX - France,New Holland Agriculture,
BRUN R. & FILS,620 Rue Blaise Pascal,39000,LONS LE SAUNIER - France,Massey Ferguson,
CAULLERY ARDENNES SERVICES,12 Route Nationale - Mon Idée,8260,AUVILLERS LES FORGES - France,Massey Ferguson,
FIMAGRI SAS,ZI de Saint Eloi,29260,PLOUDANIEL - France,New Holland Agriculture,www.fimagri.fr
CONFORTECH,"""Porte Verte"" 240 rue Paul Berthoud",69220,Belleville en Beaujolais - France,,
EURL AGRI 25,29 ZA Les Banardes,25800,Valdahon - France,,
DURET SA,25 Rue Paul Deschanel,28150,VOVES - France,Case IH,
Ets CHESNEAU,ZI de Buray,41500,MER - France,"Caterpillar, John Deere",www.chesneau.eu
BORDA GARAGE,Route de Digne,4410,PUIMOISSON - France,Kubota,
CHANCEAULME SAS,2 Route des Anes,24230,VELINES - France,"Grégoire, Massey Ferguson, Same",
BOUDET SARL,25 Rue de la Fontaine,23110,SANNAT - France,CLAAS,
BAYARD SAS,Route Nationale,62910,MOULLE - France,"Deutz-Fahr, Lamborghini, Same",
BASSET,ZI de Bellevue,10110,POLISOT - France,"Bobard, Massey Ferguson, Toro",
SAS DELOR,"ZA DU GEVAUDAN
                                                                    RIEUTORT DE RANDON",48700,MONT DE RANDON - France,Valtra,
IDASS SA,Rue de Montbary - ZI,45140,ORMES - France,,
ESCURAT SARL,St Dezery - Les Prades,19200,USSEL - France,New Holland,
GEORGES MOTOCULTURE EURL,ZA du Pré de la Barre,38440,ST JEAN DE BOURNAY - France,"Deutz-Fahr, Same",
GIRARD SA,ZAC La Tuilerie - BP7,1330,VILLARS LES DOMBES - France,"Agrisem, Kverneland, New Holland Agriculture",
SNMA OUEST REMORQUE,ZA Le Carrefour,50540,ISIGNY LE BUAT - France,,www.ouest-remorque.com
AGRO SERVICES,le moulin de bouineau,17430,Saint-Coutant-le-Grand - France,Horsch,
CORNET SAS,Route d'Etampes,45300,PITHIVIERS Cedex - France,"JCB, John Deere",
ALPHATRAITE SARL,1 chemin des granges,42210,Saint-Cyr-les-Vignes - France,,
LALAY SARL,Le Bourg,16310,VERNEUIL - France,"Amazone, Deutz-Fahr, Devoys, Kverneland, Lamborghini, MX, Same, Vicon",
OCHANDO EURL,Espace Entreprise MéditerranéeRue Brillat Savarin,66600,RIVESALTES - France,,
MAT OCCAZ,545 route du village,82270,MONTFERMIER - France,,www.agriaffaires.biz/matoccaz
VALAGRI SARL,ZI - Brazey en Plaine,21470,BRAZEY EN PLAINE - France,"Caterpillar, Fendt",
ETS COSTEDOAT,980 Chemin Betloc,40700,HAGETMAU - France,Valtra,
DELOURMEL AGRICULTURE,11 Rue du Hill,35230,NOYAL CHATILLON SUR SEICHE - France,"Agrisem, Berthoud, Challenger, Fendt, Horsch, Kuhn, McHale, MX, Strautmann",
BOISUMAULT SAS,61C Allée des Pamprots - ZI de Souillac,16200,JARNAC - France,McCormick,
SARL MATERIEL TECHNIQUE,nargoedo,56480,Silfiac - France,,
DR AGRI,333 D 159,10600,Savières - France,"JCB, Valtra",
RMA,14 Avenue du Chêne Vert - ZAC,35650,LE RHEU - France,"Deutz-Fahr, Lamborghini, Same",
CAUQUIL & FILS SARL,Le Moulin Neuf,12400,MONTLAUR - France,"Deutz-Fahr, Landini, Same",
ALTEOR TRANSACTION,PA du Gohélève,56920,NOYAL PONTIVY - France,,
SOCIETE LARRIEU,2 chemin de la christere,40800,Sarron - France,CLAAS,
MRA,14 Rue Wissembourg,67690,HATTEN - France,,
TOUBOULIC SAS,ZA de Kerlossouarn,22160,CALLAC - France,New Holland Agriculture,www.touboulic.fr
LE BOURBASQUET SAS,"4 , RUE JEAN GUYOMARC'H
                                                                    ZA DE KERBOULARD",56250,ST NOLFF - France,"Deutz-Fahr, Kuhn, Same",www.lebourbasquet.fr
SAMA04,Zone artisanale,4700,ORAISON - France,"Kuhn, Massey Ferguson",
AGRIVERT SERVICE,ZA DU FIEU,43190,Tence - France,,www.agrivert-service.com/
FREDIERE SAS,15 montée du bois d'art,69210,SAVIGNY - France,"Merlo, Same, Valtra",
AGRIFOY,avenue de bordeaux,33220,Port-Sainte-Foy-et-Ponchapt - France,,
SASU GERALT,20 RUE ROGERON,8150,TREMBLOIS LES ROCROI - France,Metal-Fach,
MARY AGRI,"110 chemin de la zone artisanale
                                                                    Les Avorgères",38150,Sonnay - France,,
MASZYNY ROLNICZE,TRZEMESZNO 3,63-708,ROZDRAZEW - Poland,,
CASTEL AGRI,Rue lafayette  BP 117,44110,CHATEAUBRIANT - France,,
SARL SOMIA,Joli Coeur,56920,NOYAL PONTIVY - France,McCormick,
SARL HOCHET 14,"ZA ARIANA
                                                                    8 PLACE DU CHEVALEMENT MINIER",14420,SOUMONT SAINT QUENTIN - France,,
VAUDAUX SAS,138 Route de Tanninges,74100,Vétraz-Monthoux - France,,
CLAUDAGRI SAS,180 rue BA 902 Zone d'activités,88140,Auzainvilliers - France,Valtra,
SAS Groupe Rouquette,Rue Charles portal (CASE IH ),11000,Carcassonne - France,,
CREUSOT PNEUS,55 BOULEVARD DE ABATTOIRS,71200,Le Creusot - France,,
scop falhun,58 route de kerlaudy,29420,Plouénan - France,,
SCD Equipements,ZA du Bouquet,70300,Saint-Sauveur - France,,
Sarl SNH,2 rue Notre Dame,57720,Erching - France,,
BITARD & LEO REUNIS SARL,3 Rue des Frères Lumière,33320,EYSINES - France,,www.bitardetleo.fr
LOURIOU SA,12 Rue du Hameau de Bretagne,91150,MORIGNY CHAMPIGNY - France,Case IH,
MOTOBRIE PROVINS,ZI Champ Benoist - 14 Avenue de la Voulzie,77160,POIGNY - France,"Kuhn, New Holland Agriculture",
REBEYROLLES FRERES SARL,La chataigneraie,87220,EYJEAUX - France,,
LANDRI SAS,"58 Rue St Berthevin
                                                                    PARIGNY",50600,GRANDPARIGNY - France,,
TSA AGRI,5 passage Gutenberg,10120,Saint-André-les-Vergers - France,,
SAS SBL,ROUTE DE MAYENNE,53440,LA CHAPELLE AU RIBOUL - France,,
ETS MARCHAND,23 AVENUE DES PYRENEES,9100,Saint-Jean-du-Falga - France,"Kuhn, New Holland Agriculture",www.eurofarm.fr/
ESPACE AGRI SAS,"lieu dit Kerantré
                                                                    ZA du Barderff",56500,Moréac - France,Fendt,www.espaceagri-sas.com
CAROFF SARL,42 BIS RUE RAVAZ,16130,SEGONZAC - France,,
EURODEALER CENTRE,ZA de la Haute Borne,28310,Toury - France,,
EQUIP JARDIN ATLANTIC,L'ORCERIE,44840,Les Sorinières - France,,
PAGES MOTOCULTURE,386 Boulevard Jean Guigues,84120,PERTUIS - France,Massey Ferguson,
ERC 27,9 RD 438,27300,Plasnes - France,,
SEMAC SAS,57 Rue de Segonzac,16100,COGNAC - France,Massey Ferguson,
HM MAT SARL,12 rue Saint Pierre,51330,GIVRY EN ARGONNE - France,,
MOLLE SARL,12 Route de Luxeuil,70200,LANTENOT - France,New Holland Agriculture,etablissement-molle.e-monsite.com
CANY ETS,route de l'étang de pabot,24470,SAINT SAUD - France,,
SAS LMTP,ZA la JALLETIERE,49380,Notre Dame d'Allençon - France,,www.horsemann.fr
SERMA,8 Rue des Chênes,67670,MOMMENHEIM - France,Fendt,
RABEUX Père Et Fils SARL,Route de Saulieu,58140,BRASSY - France,"Deutz-Fahr, Lamborghini, Zetor",
GROUPE MELIX - ETS MELIX SAS,Avenue Monseigneur de Langle,11400,CASTELNAUDARY - France,"Fendt, Kubota, Kuhn",
TAVEAU JACQUES SARL,1 Rue de l'Argillière,60480,ST ANDRE FARIVILLERS - France,Deutz-Fahr,
BATHELIER SAS,128 Rte d'orange,84600,VALREAS - France,"Fendt, McCormick, Zetor",
MONS AGRI,47 ROUTE NATIONALE,80200,ESTREES MONS - France,"Deutz-Fahr, Kubota, Kuhn, Same",www.mons-agri.fr
DOUAY & FILS SARL,28 Rue de Lihons,80170,MEHARICOURT - France,,
CAMPION SARL,ZA de l'Hyvet - 13 Rue de la Fontaine Saint Nicolas,22230,MERDRIGNAC - France,,
LUCAS & FILS SARL,Route de Paisson,89740,CRUZY LE CHATEL - France,"Agrisem, Massey Ferguson",
NICOLAS LE FORESTIER,1 rue de la Gare,70230,FONTENOIS LES MONTBOZON - France,,www.nicolasleforestier.fr
SEE ROCHE JEAN,Cherveix Cubas,24390,CHERVEIX CUBAS - France,"Landini, Valtra",
MECAGRI,147 Route de Vienne,38150,ROUSSILLON - France,"Agrisem, Amazone, Berthoud, Carre, Case IH, Dieci, Ferrari, Gilibert, Kioti, Krone, MX, OCMIS, Pöttinger, Quivogne, Rolland, Rosatello, Tomix, Zuidberg",
ETS P. FAVIER,Les Baraques,43370,CUSSAC SUR LOIRE - France,"Caterpillar, Fendt, Massey Ferguson",
SAS MB LATHIERE,Route National 21,87230,CHALUS - France,New Holland Agriculture,
NIESS AGRICULTURE,20 Rue du Sable,67250,HOFFEN - France,New Holland Agriculture,
AUBER AMS,ZA La Plaine du Buc,76540,THIETREVILLE - France,Valtra,
Agri Trading,1 rue de la Vallée du chat,16460,Chenon - France,,
CERNEAU SA,33 Rue st germain,27400,Louviers - France,"Iseki, Kubota, Mitsubishi, Yanmar",
DUMONTAUX PERE & FILS SA,Le Bourg,23700,DONTREIX - France,"Deutz-Fahr, Kuhn, Kverneland, Same",
RIVIERE & FILS SARL,ZA,37140,BENAIS - France,Landini,www.riviere-sarl.com
DUBRANLE SAS,Les Genets,23160,AZERABLES - France,Valtra,
MAHIEU LEGER SARL,8 Route du Rozel,50340,ST GERMAIN LE GAILLARD - France,,
SARL STERVINOU,LOCH AR VATEN,29270,Cléden-Poher - France,,
ACKERMANN SA,ZI Rue Lavoisier,57340,MORHANGE - France,New Holland Agriculture,
ETS FUCHS SAS,19 Rue de Mulhouse,68510,RANTZWILLER - France,"Deutz-Fahr, Kuhn, Same",
SARL DELAGE CEREALES,Le grand maine,16380,Feuillade - France,,
DUPORT-AGRI SAS,"Zone d'activité de Longnes route de Versailles
                                                                    Rue des Vieilles Vignes",78980,LONGNES - France,"Demblon, Evrard, Fendt, Sulky",
AGRI 12,Siouls,12170,La Selve - France,,
Etablissements MAZE,"Route de Ploubalay
                                                                    ZA des Alleux",22100,TADEN DINAN - France,"Alpego, Demblon, Dominoni, Köckerling, Matermacc, McConnel, Pronar, Samasz, Serrat, Silofarmer",
Agriterres,42 rue Tourneloup,71000,Mâcon - France,,www.agri.terres.com
SCHAECHTELIN ERIC & CIE,40 Rue Principale - BP 10,68320,MUNTZENHEIM - France,"Agrisem, CLAAS",
TRAC MB,1 Rue de Valeran,60690,ROY BOISSY - France,"John Deere, La Campagne, Sulky, CLAAS",
PIERRE SALEIL SARL,Varès,12150,Recoules-Prévinquières - France,"Deutz-Fahr, Lamborghini, Same",
ETABLISSEMENTS BARBIER,117 Rue de Goupillières,78910,FLEXANVILLE - France,"Kuhn, New Holland Agriculture",
BROTTES MATERIEL AGRICOLE,35 route de mobos,26120,Chabeuil - France,Zetor,
CHASTEL & MEYZENC SARL,130 Route de Gap Pré Pourcier,5300,Lazer - France,"Fendt, Valtra",
SEMAC,6 ROUTE DE LUE EN BAUGEOIS,49140,CORZE - France,Valtra,www.semac.fr
SARL A2R,7 route de la Guesle,78125,Poigny-la-Forêt - France,,
ROLMAT 52,Rue Jean Moulin,52260,ROLAMPONT - France,,
OULMIERE SARL,157 Avenue de Lautrec -,81100,CASTRES - France,"Agrisem, Kuhn, Massey Ferguson",
AVL Import Export,Route de Beaufort,49350,Les Rosiers-sur-Loire - France,,
BOUVARD SERVICES NEGOCES / SEMALEV,"3 rue des Rosiers
                                                                    Bouchereau",77710,REMAUVILLE - France,,
AGRIMAT,35 Route de Strasbourg,67270,HOCHFELDEN - France,Case IH,
AGRIPOL SAS,ZA - 1 rue de la Basse Belloye,76270,CALLENGEVILLE - France,"Caterpillar, Fendt",
TURPAUD BERLAND,37 Avenue Georges Clémenceau,85120,LA CHATAIGNERAIE - France,"Lindner, Merlo",
SARL GASDON Agri-Occas,St Louis,44670,LA CHAPELLE GLAIN - France,,
SAVOIE MOTOCULTURE SAS,32 Rue Jean Moulin,74150,RUMILLY - France,CLAAS,
VALLET SAS,"17 ROUTE DE VILLENEUVE D AVAL
                                                                    ZI BP18",39600,ARBOIS - France,"Kuhn, Massey Ferguson",
SOCOMA Service,Avenue de Vabre,12000,RODEZ - France,"Hitachi, Manitou, Mustang",
JOSSE SAS,5 Rue de l'Orme,27240,BUIS SUR DAMVILLE - France,"Fendt, Horsch, Husqvarna, Iseki, McHale, Sulky",www.josse-agrisaintquentin.com
SAS LE SAOUT PIERRE,Créac'h Oalec - BP1,29233,CLEDER - France,,www.lesaoutsas.com
AMBS.COM - LA LITTORALE,Route de campagne,62870,Buire le sec - France,,www.ambslalittorale.fr
AGRIMAX SARL,2 ter Grande Rue,10240,COCLOIS - France,"Agrisem, Massey Ferguson",www.agrimax10.fr/
MONLEZUN,"Route du Village 26
                                                                    Standard",65220,LALANNE TRIE - France,"Alpego, Merlo, Pöttinger, Valtra",www.sas-monlezun.fr
CHABAS SAS,"Avenue de la Liberation
                                                                    ZA du Rompidou",13350,Charleval - France,,
COMPTOIR AGRICOLE DE BOLOGNE,ZAE - Route de Marault,52310,BOLOGNE - France,"Agrisem, Valtra",
LE VOURC H MATHIAS SARL,ZI de Kerduff,29260,LE FOLGOET - France,,
MATEVERT,27 Route de Lyons,27480,BEAUFICEL EN LYONS - France,,
CHEVALLIER SARL,Grande Rue,61550,GLOS LA FERRIERE - France,,
SN CBM,Rue d'Artouste,64121,SERRES CASTET - France,CLAAS,
AVMI,ZA La Tancrere - 13 Rue St Eloi,49270,LA VARENNE - France,,www.avmi.fr
sarl zworld,ZA LAPUZOQUE,47170,Sos - France,,
Rullier Sud Provence,"Rullier Sud Provence
                                                                    140 Allée des romarins",83170,Brignoles - France,,
