Name,Address,Postal Code,Locality,Brands,Website
BILLAUD - SEGEBA,"ZI La Bottière
                                                                    200 boulevard de POITIERS",79300,BRESSUIRE - France,"Deutz-Fahr, Krone, Kverneland, Lamborghini, Rolland, Same",www.billaud-segeba.com
MALECOT POIRIER AGRI,Route d'Alligny,58200,SAINT LOUP - France,"Alpego, Arland, Case, Evrard, Gaspardo, Grégoire Besson, Krone, Lemken, Thievin, Vaderstad",
VIVAGRI,ZA Carrefour des biards,50540,Isigny -Le-Buat - France,Case IH,
AGRIZONE,38 route de Civray,79190,Sauzé-Vaussais - France,,
DELAGREE,Parc d'Activités La Vigne,35370,ETRELLES - France,"Artec, Kuhn, Mauguin, Monosem, Rolland",www.delagree.eu
PAGOT CAPUT SA,26 Rue Henri Poincaré - BP 65,70000,VESOUL - France,"JCB, CLAAS",
TERREA,ZI Baleycourt,55100,Verdun - France,"John Deere, Kuhn",terrea-sas.fr
AGRI SANTERRE SAS,ZI OUEST rue du champs macret,80700,ROYE - France,"Amazone, Case IH, Grimme",
SAS Michel ODIC,P.A. Saint Eloi,56300,NEULLIAC - France,"Amazone, Deutz-Fahr, Grimme, Joskin, Kuhn, McHale, Polaris, Vaderstad",
CADAUMA MACHINES AGRICOLES,ZA Les Molinières - RD 888,12450,CALMONT - France,"Fendt, Krone, Kuhn, Valtra",www.cadauma.net
CMA,Route de Conques,12000,Rodez - France,"Agrisem, Kuhn, New Holland Agriculture",
MS EQUIPEMENT,LE SIGNAN,56300,Pontivy - France,"Caterpillar, John Deere",msequipement.fr
DIMA SAS,2154 route de Lyon,1630,PERON - France,,
SAS DUVAL FRERES,Le Grand Delieuc,35750,IFFENDIC - France,"Kubota, Merlo, Valtra",www.duvalfreres.com
MARTEL SA,L'Ermitage,51230,Connantre - France,"Fendt, Valtra",www.martelsa.com
COSTE MACHINES AGRICOLES SAS,10 Rue de la Fauconniere,25160,OYE ET PALLET - France,Case IH,
FIRST STOP AYME,17 - 19 RUE JEAN ZAY,69808,SAINT PRIEST cedex - France,"Bridgestone, Firestone, Kleber, Michelin, Trelleborg, Vredestein",
International Trucks & Tractors,"P.I. Roca, c/ St. Martí, s/n",8107,Martorelles - Spain,,www.ITT1878.es
EURO BAEHREL MARLENHEIM,5b Rue des Prés,67520,MARLENHEIM - France,Massey Ferguson,
BELLAMY MICHEL SAS,1 Le Bas des Landes,50680,ST CLAIR SUR ELLE - France,"Deutz-Fahr, Kubota",www.michel-bellamy.fr
SAS MECAVISTA,15 Chemin des Chinois,54290,Virecourt - France,"BVL, Emily, Fendt, Horsch, Iseki, Kuhn, Kverneland, Legrand, McHale, Pichon, Rolland, Samson, Valtra",www.agriaffaires.biz/cal
LAGARRIGUE SA,125 Impasse du Serayol - Morlhon le Haut,12200,VILLEFRANCHE DE ROUERGUE - France,CLAAS,
CLAAS AVIGNON,ZA La Crau,13670,ST ANDIOL EN PROVENCE - France,CLAAS,www.tractomarket.com/avignon
MAC CASTELBRIANTAIS,ZA La Bergerie,44110,LOUISFERT - France,New Holland Agriculture,www.mac.fr
CMS DISTRIBUTION,288 RUE DU STADE,70110,villersexel - France,,
PELLENC BORDEAUX CHARENTES,Lieu dit Goujon - RN89,33500,Néac - France,Pellenc,
